League,Season,League_Position,Team,Points,W,D,L,GF,GA
La Liga,2020-2021,2,Real Madrid,84,25,9,4,67,28
La Liga,2020-2021,3,Barcelona,79,24,7,7,85,38
La Liga,2020-2021,4,Sevilla,77,24,5,9,53,33
La Liga,2020-2021,5,Real Sociedad,62,17,11,10,59,38
La Liga,2020-2021,6,Real Betis,61,17,10,11,50,50
La Liga,2020-2021,7,Villarreal,58,15,13,10,60,44
La Liga,2020-2021,8,Celta Vigo,53,14,11,13,55,57
La Liga,2020-2021,9,Granada,46,13,7,18,47,65
La Liga,2020-2021,10,Athletic Club,46,11,13,14,46,42
La Liga,2020-2021,11,Osasuna,44,11,11,16,37,48
La Liga,2020-2021,12,Cádiz,44,11,11,16,36,58
La Liga,2020-2021,13,Valencia,43,10,13,15,50,53
La Liga,2020-2021,14,Levante,41,9,14,15,46,57
La Liga,2020-2021,15,Getafe,38,9,11,18,28,43
La Liga,2020-2021,16,Alavés,38,9,11,18,36,57
La Liga,2020-2021,17,Elche,36,8,12,18,34,55
La Liga,2020-2021,18,Huesca,34,7,13,18,34,53
La Liga,2020-2021,19,Real Valladolid,31,5,16,17,34,57
La Liga,2020-2021,20,Eibar,30,6,12,20,29,52
La Liga,2021-2022,1,Real Madrid,86,26,8,4,80,31
La Liga,2021-2022,2,Barcelona,73,21,10,7,68,38
La Liga,2021-2022,3,Atlético Madrid,71,21,8,9,65,43
La Liga,2021-2022,4,Sevilla,70,18,16,4,53,30
La Liga,2021-2022,5,Real Betis,65,19,8,11,62,40
La Liga,2021-2022,6,Real Sociedad,62,17,11,10,40,37
La Liga,2021-2022,7,Villarreal,59,16,11,11,63,37
La Liga,2021-2022,8,Athletic Club,55,14,13,11,43,36
La Liga,2021-2022,9,Valencia,48,11,15,12,48,53
La Liga,2021-2022,10,Osasuna,47,12,11,15,37,51
La Liga,2021-2022,11,Celta Vigo,46,12,10,16,43,43
La Liga,2021-2022,12,Rayo Vallecano,42,11,9,18,39,50
La Liga,2021-2022,13,Elche,42,11,9,18,40,52
La Liga,2021-2022,14,Espanyol,42,10,12,16,40,53
La Liga,2021-2022,15,Getafe,39,8,15,15,33,41
La Liga,2021-2022,16,Mallorca,39,10,9,19,36,63
La Liga,2021-2022,17,Cádiz,39,8,15,15,35,51
La Liga,2021-2022,18,Granada,38,8,14,16,44,61
La Liga,2021-2022,19,Levante,35,8,11,19,51,76
La Liga,2021-2022,20,Alavés,31,8,7,23,31,65
La Liga,2022-2023,1,Barcelona,88,28,4,6,70,20
La Liga,2022-2023,2,Real Madrid,78,24,6,8,75,36
La Liga,2022-2023,3,Atlético Madrid,77,23,8,7,70,33
La Liga,2022-2023,4,Real Sociedad,71,21,8,9,51,35
La Liga,2022-2023,5,Villarreal,64,19,7,12,59,40
La Liga,2022-2023,6,Real Betis,60,17,9,12,46,41
La Liga,2022-2023,7,Osasuna,53,15,8,15,37,42
La Liga,2022-2023,8,Athletic Club,51,14,9,15,47,43
La Liga,2022-2023,9,Mallorca,50,14,8,16,37,43
La Liga,2022-2023,10,Girona,49,13,10,15,58,55
La Liga,2022-2023,11,Rayo Vallecano,49,13,10,15,45,53
La Liga,2022-2023,12,Sevilla,49,13,10,15,47,54
La Liga,2022-2023,13,Celta Vigo,43,11,10,17,43,53
La Liga,2022-2023,14,Cádiz,42,10,12,16,30,53
La Liga,2022-2023,15,Getafe,42,10,12,16,34,45
La Liga,2022-2023,16,Valencia,42,11,9,18,42,45
La Liga,2022-2023,17,Almería,41,11,8,19,49,65
La Liga,2022-2023,18,Real Valladolid,40,11,7,20,33,63
La Liga,2022-2023,19,Espanyol,37,8,13,17,52,69
La Liga,2022-2023,20,Elche,25,5,10,23,30,67
La Liga,2023-2024,1,Real Madrid,95,29,8,1,87,26
La Liga,2023-2024,2,Barcelona,85,26,7,5,79,44
La Liga,2023-2024,3,Girona,81,25,6,7,85,46
La Liga,2023-2024,4,Atlético Madrid,76,24,4,10,70,43
La Liga,2023-2024,5,Athletic Club,68,19,11,8,61,37
La Liga,2023-2024,6,Real Sociedad,60,16,12,10,51,39
La Liga,2023-2024,7,Real Betis,57,14,15,9,48,45
La Liga,2023-2024,8,Villarreal,53,14,11,13,65,65
La Liga,2023-2024,9,Valencia,49,13,10,15,40,45
La Liga,2023-2024,10,Alavés,46,12,10,16,36,46
La Liga,2023-2024,11,Osasuna,45,12,9,17,45,56
La Liga,2023-2024,12,Getafe,43,10,13,15,42,54
La Liga,2023-2024,13,Celta Vigo,41,10,11,17,46,57
La Liga,2023-2024,14,Sevilla,41,10,11,17,48,54
La Liga,2023-2024,15,Mallorca,40,8,16,14,33,44
La Liga,2023-2024,16,Las Palmas,40,10,10,18,33,47
La Liga,2023-2024,17,Rayo Vallecano,38,8,14,16,29,48
La Liga,2023-2024,18,Cádiz,33,6,15,17,26,55
La Liga,2023-2024,19,Almería,21,3,12,23,43,75
La Liga,2023-2024,20,Granada,21,4,9,25,38,79
La Liga,2024-2025,1,Barcelona,88,28,4,6,102,39
La Liga,2024-2025,2,Real Madrid,84,26,6,6,78,38
La Liga,2024-2025,3,Atlético Madrid,76,22,10,6,68,30
La Liga,2024-2025,4,Athletic Club,70,19,13,6,54,29
La Liga,2024-2025,5,Villarreal,70,20,10,8,71,51
La Liga,2024-2025,6,Real Betis,60,16,12,10,57,50
La Liga,2024-2025,7,Celta Vigo,55,16,7,15,59,57
La Liga,2024-2025,8,Rayo Vallecano,52,13,13,12,41,45
La Liga,2024-2025,9,Osasuna,52,12,16,10,48,52
La Liga,2024-2025,10,Mallorca,48,13,9,16,35,44
La Liga,2024-2025,11,Real Sociedad,46,13,7,18,35,46
La Liga,2024-2025,12,Valencia,46,11,13,14,44,54
La Liga,2024-2025,13,Getafe,42,11,9,18,34,39
La Liga,2024-2025,14,Espanyol,42,11,9,18,40,51
La Liga,2024-2025,15,Alavés,42,10,12,16,38,48
La Liga,2024-2025,16,Girona,41,11,8,19,44,60
La Liga,2024-2025,17,Sevilla,41,10,11,17,42,55
La Liga,2024-2025,18,Leganés,40,9,13,16,39,56
La Liga,2024-2025,19,Las Palmas,32,8,8,22,40,61
La Liga,2024-2025,20,Real Valladolid,16,4,4,30,26,90
