League,Season,League_Position,Team,Points,W,D,L,GF,GA
La Liga,2020-2021,1,Atlético Madrid,86,26,8,4,67,25
La Liga,2020-2021,2,Real Madrid,84,25,9,4,67,28
La Liga,2020-2021,3,Barcelona,79,24,7,7,85,38
La Liga,2020-2021,4,Sevilla,77,24,5,9,53,33
La Liga,2020-2021,5,Real Sociedad,62,17,11,10,59,38
La Liga,2020-2021,6,Real Betis,61,17,10,11,50,50
La Liga,2020-2021,7,Villarreal,58,15,13,10,60,44
La Liga,2020-2021,8,Celta Vigo,53,14,11,13,55,57
La Liga,2020-2021,9,Granada,46,13,7,18,47,65
La Liga,2020-2021,10,Athletic Club,46,11,13,14,46,42
La Liga,2020-2021,11,Osasuna,44,11,11,16,37,48
La Liga,2020-2021,12,Cádiz,44,11,11,16,36,58
La Liga,2020-2021,13,Valencia,43,10,13,15,50,53
La Liga,2020-2021,14,Levante,41,9,14,15,46,57
La Liga,2020-2021,15,Getafe,38,9,11,18,28,43
La Liga,2020-2021,16,Alavés,38,9,11,18,36,57
La Liga,2020-2021,17,Elche,36,8,12,18,34,55
La Liga,2020-2021,18,Huesca,34,7,13,18,34,53
La Liga,2020-2021,19,Real Valladolid,31,5,16,17,34,57
La Liga,2020-2021,20,Eibar,30,6,12,20,29,52
