League,Season,League_Position,Team,Points,W,D,L,GF,GA
Ligue 1,2020-2021,1,Lille,83,24,11,3,64,23
Ligue 1,2020-2021,2,Paris Saint-Germain,82,26,4,8,86,28
Ligue 1,2020-2021,3,AS Monaco,78,24,6,8,76,42
Ligue 1,2020-2021,4,Lyon,76,22,10,6,81,43
Ligue 1,2020-2021,5,Marseille,60,16,12,10,54,47
Ligue 1,2020-2021,6,Stade Rennais,58,16,10,12,52,40
Ligue 1,2020-2021,7,Lens,57,15,12,11,55,54
Ligue 1,2020-2021,8,Montpellier,54,14,12,12,60,62
Ligue 1,2020-2021,9,Nice,52,15,7,16,50,53
Ligue 1,2020-2021,10,Metz,47,12,11,15,44,48
Ligue 1,2020-2021,11,Saint-Étienne,46,12,10,16,42,54
Ligue 1,2020-2021,12,Bordeaux,45,13,6,19,42,56
Ligue 1,2020-2021,13,Angers,44,12,8,18,40,58
Ligue 1,2020-2021,14,Stade de Reims,42,9,15,14,42,50
Ligue 1,2020-2021,15,Strasbourg,42,11,9,18,49,58
Ligue 1,2020-2021,16,Lorient,42,11,9,18,50,68
Ligue 1,2020-2021,17,Brest,41,11,8,19,50,66
Ligue 1,2020-2021,18,Nantes,40,9,13,16,47,55
Ligue 1,2020-2021,19,Nimes,35,9,8,21,40,71
Ligue 1,2020-2021,20,Dijon FCO,21,4,9,25,25,73
