League,Season,League_Position,Team,Points,W,D,L,GF,GA
Serie A,2020-2021,1,Internazionale,91,28,7,3,89,35
Serie A,2020-2021,2,AC Milan,79,24,7,7,74,41
Serie A,2020-2021,3,Atalanta,78,23,9,6,90,47
Serie A,2020-2021,4,Juventus,78,23,9,6,77,38
Serie A,2020-2021,5,Napoli,77,24,5,9,86,41
Serie A,2020-2021,6,Lazio,68,21,5,12,61,55
Serie A,2020-2021,7,AS Roma,62,18,8,12,68,58
Serie A,2020-2021,8,Sassuolo,62,17,11,10,64,56
Serie A,2020-2021,9,Sampdoria,52,15,7,16,52,54
Serie A,2020-2021,10,Hellas Verona,45,11,12,15,46,48
Serie A,2020-2021,11,Genoa,42,10,12,16,47,58
Serie A,2020-2021,12,Bologna,41,10,11,17,51,65
Serie A,2020-2021,13,Fiorentina,40,9,13,16,47,59
Serie A,2020-2021,14,Udinese,40,10,10,18,42,58
Serie A,2020-2021,15,Spezia,39,9,12,17,52,72
Serie A,2020-2021,16,Cagliari,37,9,10,19,43,59
Serie A,2020-2021,17,Torino,37,7,16,15,50,69
Serie A,2020-2021,18,Benevento,33,7,12,19,40,75
Serie A,2020-2021,19,Crotone,23,6,5,27,45,92
Serie A,2020-2021,20,Parma,20,3,11,24,39,83
