League,Season,League_Position,Team,Points,W,D,L,GF,GA
Premier League,2020-2021,1,Manchester City,86,27,5,6,83,32
Premier League,2020-2021,2,Manchester United,74,21,11,6,73,44
Premier League,2020-2021,3,Liverpool,69,20,9,9,68,42
Premier League,2020-2021,4,Chelsea,67,19,10,9,58,36
Premier League,2020-2021,5,Leicester City,66,20,6,12,68,50
Premier League,2020-2021,6,West Ham United,65,19,8,11,62,47
Premier League,2020-2021,7,Tottenham Hotspur,62,18,8,12,68,45
Premier League,2020-2021,8,Arsenal,61,18,7,13,55,39
Premier League,2020-2021,9,Leeds United,59,18,5,15,62,54
Premier League,2020-2021,10,Everton,59,17,8,13,47,48
Premier League,2020-2021,11,Aston Villa,55,16,7,15,55,46
Premier League,2020-2021,12,Newcastle United,45,12,9,17,46,62
Premier League,2020-2021,13,Wolverhampton Wanderers,45,12,9,17,36,52
Premier League,2020-2021,14,Crystal Palace,44,12,8,18,41,66
Premier League,2020-2021,15,Southampton,43,12,7,19,47,68
Premier League,2020-2021,16,Brighton & Hove Albion,41,9,14,15,40,46
Premier League,2020-2021,17,Burnley,39,10,9,19,33,55
Premier League,2020-2021,18,Fulham,28,5,13,20,27,53
Premier League,2020-2021,19,West Bromwich Albion,26,5,11,22,35,76
Premier League,2020-2021,20,Sheffield United,23,7,2,29,20,63
